logbookID	title	desc	start_date	start_place	end_date	end_place	source	note	change_date	changer	masterIDs	vesselIDs	voyageIDs	master	repositoryID	ID_in_repo	ID_in_repo_alt	url_in_repo	viewer_url	creator	creatorID	thumbnail	citation	other_years	segmentIDs
AL057036	Alexander (Steam bark) of San Francisco, mastered by B.T. Tilton, on voyage from 16 Mar.-11 Nov. 1899		1899 Mar 16	San Francisco, CA	1899 Nov 11		NBWM		2018-11-13	N Silveira	AM5026	AS0841	AV00505		NBW	ODHS 140			https://archive.org/details/alexandersteamba00alex_0	W.S. Varnum				1899	
AL057037	Alexander (Steam bark) of San Francisco, mastered by B.T. Tilton, on voyage from 1 Apr.-Nov. 7 1903		1903 Apr 1	San Francisco, CA	1903 Nov 8		NBWM		2018-11-01	N Silveira	AM5030	AS0841	AV00509		NBW	ODHS 141			https://archive.org/details/alexandersteamba00alex	W.S. Varnum				1903	
AL057038	Roscoe (Bark) of New Bedford, mastered by George H. Macomber, on voyage from 11 July 1865-10 June 1870		1865 July 10	New Bedford, MA	1870		NBWM		2018-11-13	N Silveira	AM3238	AS0564	AV12571		NBW	ODHS 155			https://archive.org/details/roscoebarkofnewb00rosc					1865 1866 1867 1868 1869 1870	
AL057039	Saratoga (Ship) of New Bedford, mastered by Ephraim Harding, on voyage from 5 Sept. 1849-26 May 1852		1849	New Bedford, MA	1852		NBWM		2018-11-14	N Silveira	AM2435	AS0614	AV12963		NBW	ODHS 161			https://archive.org/details/saratogashipofne00sara					1849 1850 1851 1852	
AL057040	Logbook of the Cicero (Ship) of New Bedford, Mass., mastered by John R. Stivers, kept by first mate William J. Chadwick and mate Isaac Wrigley, on voyage 9 Oct. 1860-25 May 1865		1860 Oct 8	New Bedford, MA	1865		NBWM		2018-09-22	N Silveira	AM4716	AS0096	AV02884		NBW	ODHS 18			https://archive.org/details/logbookofciceros00unse	 William J. Chadwick and Isaac Wrigley				1860 1861 1862 1863 1864 1865	
AL057041	St. George (Ship) of New Bedford, mastered by Joseph Dias, Jr., on voyage from 10 Sept. 1853-6 May 1857		1853	New Bedford, MA	1857		NBWM		2018-11-13	N Silveira	AM1578	AS0591	AV13366		NBW	ODHS 203			https://archive.org/details/stgeorgeshipofne00stge	Joseph Dias, Jr.				1853 1854 1855 1856 1857	
AL057042	Ocmulgee (Ship) of Holmes Hole, mastered by Frederick William Manter, on voyage from 2 Sept. 1847-21 Apr. 1850		1847	Holmes’ Hole, MA	1850		NBWM		2018-10-08	N Silveira	AM3301	AS2076	AV10733		NBW	ODHS 204			https://archive.org/details/ocmulgeeshipofho00ocmu	Joseph Dias, Jr.				1847 1848 1849 1850	
AL057043	Logbook of the Beluga (Steam bark), of San Francisco, Calif., mastered by Albert C. Sherman, kept by Albert C. Sherman, on voyage from 20 Mar. 1894-20 Nov. 1896		1894 Mar 19	San Francisco, CA	1896		NBWM		2018-10-20	N Silveira	AM4332	AS0966	AV01670		NBW	ODHS 205			https://archive.org/details/logbookofbelugas00belu	Albert C. Sherman				1894 1895 1896	
AL057044	Logbook of the Beluga (Steam bark), of San Francisco, Calif., mastered by Hartson H. Bodfish, kept by Hartson H. Bodfish, on voyage from 2 Apr. 1902-8 Nov. 1902		1902 Apr 2	San Francisco, CA	1902 Nov 7		NBWM		2018-10-02	N Silveira	AM0495	AS0966	AV01673		NBW	ODHS 205			https://archive.org/details/logbookofbelugaste00unse	Hartson H. Bodfish				1902	
AL057045	William Baylies (Steamer), of San Francisco, CA, mastered by Stephen F. Cottle, kept by G.F. Tilton, on voyage from 12 March 1901 to 4 November 1901		1901 Mar 12	San Francisco, CA	1901 Nov 4		NBWM		2018-10-20	N Silveira	AM1382	AS0713	AV15617		NBW	ODHS 205	Microfilm Reel 251		https://archive.org/details/williambayliesst00will	G. F. Tilton				1901	
AL057046	Mary and Helen (Steam bark) of New Bedford, mastered by M. Millard and Leander C. Owen, on voyage 9 Sept. 1879-10 Oct. 1880		1879 SEPT 8	New Bedford, MA	1880		NBWM		2018-11-14	N Silveira	AM3435, AM3678	AS0435	AV09223		NBW	ODHS 215			https://archive.org/details/maryhelensteamba00mary					1879 1880	
AL057047	Lucretia (Steam bark) of New Bedford, mastered by Thomas Mellen, on voyage from 15 Dec. 1881-21 Nov. 1882		1881 Oct 1	New Bedford, MA	1882		NBWM		2018-11-14	N Silveira	AM3419	AS0761	AV17133		NBW	ODHS 216			https://archive.org/details/lucretiasteambar00lucr					1881 1882	
AL057048	Belvedere (Steam bark) of San Francisco, mastered by M.V.B. Millard, on voyage 10 Mar. 1897-7 Nov. 1898		1897 Mar 9	San Francisco, CA	1898 Nov 7		NBWM		2018-11-13	N Silveira	AM3435	AS0707	AV01703		NBW	ODHS 222			https://archive.org/details/belvederesteamba00belv_0					1897 1898	
