logbookID	title	desc	start_date	start_place	end_date	end_place	source	note	change_date	changer	masterIDs	vesselIDs	voyageIDs	master	repositoryID	ID_in_repo	ID_in_repo_alt	url_in_repo	viewer_url	creator	creatorID	thumbnail	citation	other_years	segmentIDs
AL037001	Logbook of the Horatio (Bark) of San Francisco, Calif., mastered by Giles P. Slocum, kept by Giles P. Slocum, on voyage from 17 Mar. 1896-1 Nov. 1896		1896 Mar 13	San Francisco, CA	1896		NBWM		2018-09-27	N Silveira	AM4397	AS0297	AV06802		KWM	KWM 104	Microfilm Reel 10		https://archive.org/details/logbookofhoratio00hora	Giles P. Slocum				1896	
AL037002	Logbook of the Islander (Bark) of New Bedford, Mass., mastered by Richard Holley, on voyage from 11 Nov. 1865-12 June 1869		1865 Nov 11	New Bedford, MA	1869		NBWM		2018-09-22	N Silveira	AM2636	AS0312	AV07187		KWM	KWM 112	Microfilm Reel 11		https://archive.org/details/logbookofislande00isla					1865 1866 1867 1868 1869	
AL037003	Logbook of the Josephine (Ship), of New Bedford, Mass., mastered by James L. Chapman, kept by James L. Chapman, on voyage from 14 Apr. 1863-12 June 1867		1863 Apr 13	New Bedford, MA	1867		NBWM		2018-10-06	N Silveira	AM0889	AS0346	AV07887		KWM	KWM 122C	Microfilm Reel 12		https://archive.org/details/logbookofjosephi00unse	James L. Chapman				1863 1864 1865 1866 1867	
AL037004	Logbook of the Alfred Gibbs (Ship) of New Bedford, Mass., mastered by Isaac H. Jenney, kept by William W. Allen, on voyage from 1851 Nov. 13-1854 July 20		1851	New Bedford, MA	1854		NBWM		2018-09-27	N Silveira	AM2875	AS0024	AV00531		KWM	KWM 13			https://archive.org/details/logbookofalfredg1851unse	William W. Allen				1851 1852 1853 1854	
AL037005	Logbook of the Lydia (Bark) of New Bedford, Mass., mastered by Thomas B. Hathaway, on voyage from 2 Nov. 1865-1 May 1869		1865 Nov 1	New Bedford, MA	1869		NBWM		2018-10-06	N Silveira	AM2509	AS0397	AV08715		KWM	KWM 132	Microfilm Reel 12		https://archive.org/details/logbookoflydiaba00lydi					1865 1866 1867 1868 1869	
AL037006	Logbook of the Mermaid (Bark) of San Francisco, Calif., mastered by David F. Devoll, on voyage from 17 Mar. 1896-10 Nov. 1896		1896 Mar 17	San Francisco, CA	1896		NBWM		2018-10-06	N Silveira	AM1580	AS0704	AV09640		KWM	KWM 143	Microfilm Reel 13		https://archive.org/details/logbookofmermaid00merm					1896	
AL037007	Logbook of the Milo (Ship) of New Bedford, Mass., mastered by Jonathan Capen Hawes, on voyage from 26 Nov. 1863-7 May 1869		1863 Nov 25	New Bedford, MA	1869		NBWM		2018-09-22	N Silveira	AM2526	AS0400	AV09775		KWM	KWM 147			https://archive.org/details/logbookofmiloship00milo					1863 1864 1865 1866 1867 1868 1869	
AL037008	Logbook of the Navy (Ship) of New Bedford, Mass.; mastered by Andrew S. Sarvent, kept by Andrew S. Sarvent on voyage from 10 Aug. 1859-18 Apr. 1864		1859 Aug 10	New Bedford, MA	1864		NBWM		2018-10-06	N Silveira	AM4261	AS0495	AV10337		KWM	KWM 155			https://archive.org/details/logbookofnavyshi00navy	Andrew S. Sarvent				1859 1860 1861 1862 1863 1864	
AL037009	Logbook of the Navy (Bark) of New Bedford, Mass., mastered by George F. Bauldry, on voyage from 7 Oct. 1869-14 Sept. 1871		1869 Oct 6	New Bedford, MA	1871 Sept 14		NBWM		2018-10-08	N Silveira	AM0397	AS0495	AV10339		KWM	KWM 156	Microfilm Reel 15		https://archive.org/details/logbookofnavybar00navy					1869 1870 1871	
AL037010	Logbook of the Nimrod (Ship) of New Bedford, mastered by Willis Howes, on voyage Sept. 1857-July 1861		1857 Sept 17	New Bedford, MA	1861		NBWM		2018-11-14	N Silveira	AM2703	AS0494	AV10511		KWM	KWM 159			https://archive.org/details/logbookofnimrods00nimr	William M. Lambert				1857 1858 1859 1860 1861	
AL037011	Logbook of the Congress (Ship) of New Bedford, mastered by Francis E. Stranburg, on voyage Aug. 1858-Aug. 1862		1858 Aug 2	New Bedford, MA	1862		NBWM		2018-11-13	N Silveira	AM4729	AS0113	AV03258		KWM	KWM 161			https://archive.org/details/logbookofcongres00cong					1858 1859 1860 1861 1862	
AL037012	Logbook of the Rambler (Ship) of New Bedford, mastered by James Monroe Willis, on voyage Oct. 1856-June 1860		1856 Oct 14	New Bedford, MA	1860		NBWM		2018-10-20	N Silveira	AM5382	AS0588	AV12125		KWM	KWM 173			https://archive.org/details/logbookoframbler00ramb	James Monroe Willis				1856 1857 1858 1859 1860	
AL037013	Journal of the Saratoga (Ship) of New Bedford, Mass. mastered by Frederick Slocum, kept by Washington Fosdick, on voyage from April 23, 1857 - December 12, 1858		1856 Nov 3	New Bedford, MA	1860 June 1		NBWM		2019-01-22	D Caldwell	AM4395	AS0614	AV12965		KWM	KWM 180	Microfilm Reel 17		https://archive.org/details/journalofsaratog00unse	Washington Fosdick				1856 1857 1858 1859 1860	
AL037014	Logbook of the Trident (Bark) of New Bedford, Mass., mastered by Samuel Green, on voyage from 16 Nov. 1865-10 June 1871		1865 Nov 15	New Bedford, MA	1871		NBWM		2018-10-06	N Silveira	AM2313, AM4152	AS0651	AV14044		KWM	KWM 192	Microfilm Reel 18		https://archive.org/details/logbookoftrident00trid					1865 1866 1867 1868 1869 1870 1871	
AL037015	Logbook of the Nassau (Ship) of New Bedford, mastered by James W. White, on voyage Aug. 1850-May 1853		1850	New Bedford, MA	1853		NBWM		2018-11-13	N Silveira	AM5307	AS0492	AV10278		KWM	KWM 216			https://archive.org/details/logbookofnassaus00nass	William H. Pullen				1850 1851 1852 1853	
AL037016	Logbook of the William Hamilton (Ship) of New Bedford, mastered by Humphrey Allen Shockley, on voyage from June 1850-Nov. 1852		1850	New Bedford, MA	1854		NBWM		2018-11-13	N Silveira	AM4356, AM2641	AS0687	AV15654		KWM	KWM 225			https://archive.org/details/logbookofwilliam00will_0	John G. Ellis				1850 1851 1852 1853 1854	
AL037017	Logbook of the America (Ship) of New Bedford, mastered by Lorenzo Fisher, on voyage June 1851-June 1854		1851	New Bedford, MA	1854		NBWM		2018-11-14	N Silveira	AM1884	AS0006	AV00825		KWM	KWM 235			https://archive.org/details/logbookofamerica00amer	Lorenzo Fisher				1851 1852 1853 1854	
AL037018	Logbook of the Golconda (Ship) of New Bedford, mastered by Francis Dougherty, on voyage from July 1851-Apr. 1855		1851	New Bedford, MA	1855		NBWM		2018-11-14	N Silveira	AM1605	AS0244	AV05827		KWM	KWM 244			https://archive.org/details/logbookofgolcond00golc	James T. Taber				1851 1852 1853 1854 1855	
AL037019	Logbook of the Marengo (Ship) of New Bedford, mastered by Joseph C. Little, on voyage from Oct. 1866-Apr. 1871		1866 Oct 16	New Bedford, MA	1871		NBWM		2018-11-14	N Silveira	AM3125	AS0461	AV08920		KWM	KWM 251			https://archive.org/details/logbookofmarengo00mare_0	James H. Edick				1866 1867 1868 1869 1870 1871	
AL037020	Belvedere (Steam bark), of San Francisco, Calif., mastered by S.F. Cottle, kept by William F. Joseph, on voyage from 1907 Mar. 2-Oct. 8		1907 Mar 2	San Francisco, CA	1907 Nov 8		NBWM		2018-11-14	N Silveira	AM1382	AS0707	AV01713		KWM	KWM 29			https://archive.org/details/belvederesteamba00belv	William F. Joseph				1907	
AL037021	Benjamin Tucker (Ship), of New Bedford, Mass., mastered by Daniel B. Wood, kept by Daniel A. Chappell, on voyage from 1849 July 18-1851 June 1		1849	New Bedford, MA	1851		NBWM		2018-11-14	N Silveira	AM5455	AS0063	AV01783		KWM	KWM 30			https://archive.org/details/benjamintuckersh00benj	Daniel A. Chappell				1849 1850 1851	
AL037022	Logbook of the Bowditch (Ship) of Warren, mastered by Nelson J. Waldron, on voyage from Sept. 1849-Apr. 1852		1849 Sept 18	Warren, RI	1852 Apr 23		NBWM		2018-11-14	N Silveira	AM5164	AS1001	AV01977		KWM	KWM 316			https://archive.org/details/logbookofbowditc00bowd					1849 1850 1851 1852	
AL037023	Logbook of the South America (Bark) of New Bedford, mastered by Washington T. Walker and John L. Gifford, on voyage from Oct. 1855-May 1859		1855 Sept 29	New Bedford, MA	1859		NBWM		2018-11-14	N Silveira	AM5169, AM2207	AS0620	AV13265		KWM	KWM 326			https://archive.org/details/logbookofsoutham00sout_0					1855 1856 1857 1858 1859	
AL037024	Logbook of the Cape Horn Pigeon (Bark) of Dartmouth, mastered by Daniel Sherman on voyage from Sept. 1862-Apr. 1866		1862 Sept 13	Dartmouth, MA	1866		NBWM		2018-11-14	N Silveira	AM4333	AS0701	AV02338		KWM	KWM 329			https://archive.org/details/logbookofcapehor00cape	 Daniel Sherman				1862 1863 1864 1865 1866	
AL037025	Logbook of the Prudent (Bark) of Stonington, mastered by Ellery Nash, on voyage from Oct. 1850-May 1855		1850	Stonington, CT	1855		NBWM		2018-11-14	N Silveira	AM3543	AS2246	AV12004		KWM	KWM 338			https://archive.org/details/logbookofprudent00prud	Ellery Nash				1850 1851 1852 1853 1854 1855	
AL037026	Logbook of the Milo (Ship) of New Bedford, mastered by Thomas Fordham, on voyage from Nov. 1859-May 1863		1859 Nov 15	New Bedford, MA	1863		NBWM		2018-11-14	N Silveira	AM1995	AS0400	AV09774		KWM	KWM 351			https://archive.org/details/logbookofmiloshi00milo_1	Thomas Fordham				1859 1860 1861 1862 1863	
AL037027	Logbook of the Isabella (Bark) of New Bedford, mastered by Hudson Winslow, on voyage Sept. 1863- June 1865		1863 Sept 28	New Bedford, MA	1865 June 26		NBWM		2018-11-14	N Silveira	AM5422	AS0311	AV07168		KWM	KWM 363			https://archive.org/details/logbookofisabell00isab					1863 1864 1865	
AL037028	Logbook of the California (Bark), of San Francisco, Calif., mastered by Ellsworth Luce West, kept by first mate William F. Joseph, on voyage from 1894 Dec. 4-1895 Nov. 7		1894 Dec 4	San Francisco, CA	1895		NBWM		2018-10-05	N Silveira	AM5247, AM4397	AS0093	AV02207		KWM	KWM 37	Microfilm Reel 4		https://archive.org/details/logbookofcaliforn00cali	William F. Joseph				1894 1895	
AL037029	Logbook of the Betsey Williams (Ship) of Stonington, Conn., mastered by Gilbert Pendleton, kept by Gilbert Pendleton, on voyage from 1851 July 23-1854 April 20		1851	Stonington, CT	1854		NBWM		2018-10-02	N Silveira	AM3808	AS0074	AV01853		KWM	KWM 370			https://archive.org/details/logbookofbetseyw00unse	John R. Collins				1851 1852 1853 1854	
AL037030	Logbook of the Reindeer (Ship) of New Bedford, mastered by George W. Raynor on voyage June 1865-Apr. 1869		1865 June 12	New Bedford, MA	1869		NBWM		2018-11-14	N Silveira	AM4038	AS0589	AV12221		KWM	KWM 385			https://archive.org/details/logbookofreindee00rein					1865 1866 1867 1868 1869	
AL037031	Logbook of the California (Bark), of San Francisco, Calif., mastered by William F. Joseph, kept by William F. Joseph, on voyage from 1905 Feb. 16-1905 Nov. 3		1905 Feb 16	San Francisco, CA	1905 Nov 3		NBWM		2018-10-06	N Silveira	AM2929	AS0093	AV02221		KWM	KWM 40A	Microfilm Reel 4		https://archive.org/details/logbookofcalifor00unse	William F. Joseph				1905	
AL037032	Logbook of the Alfred Gibbs (Ship) of New Bedford, mastered by Isaac H. Jenney on voyage from Nov. 1851-July 1854		1851	New Bedford, MA	1854		NBWM		2018-11-14	N Silveira	AM2875	AS0024	AV00531		KWM	KWM 412			https://archive.org/details/logbookofalfredg00alfr	Henry Berry				1851 1852 1853 1854	
AL037033	Logbook of the Oregon (Ship) of Fairhaven, Mass., mastered by Obed Sherman, on voyage from 12 July 1841 - 31 March 1845		1841 July 12	Fairhaven, MA	1845		NBWM		2018-11-14	N Silveira	AM4346	AS2109	AV10952		KWM	KWM 418			https://archive.org/details/logbookoforegons00oreg_0					1841 1842 1843 1844 1845	
AL037034	Logbook of the Cicero (Bark) of New Bedford, mastered by John H. Paun, on voyage from Oct. 1865-Sept. 1869		1865 Oct 16	New Bedford, MA	1869		NBWM		2018-11-13	N Silveira	AM3743	AS0096	AV02885		KWM	KWM 431			https://archive.org/details/logbookofcicerob00cice					1865 1866 1867 1868 1869	
AL037035	Logbook of the Gratitude (Ship) of New Bedford, Mass., mastered by Peleg H. Stetson, on voyage from 25 April 1841 - 7 April 1844		1841 Apr 28	New Bedford, MA	1845 Apr 8		NBWM		2018-11-13	N Silveira	AM4704	AS0248	AV06005		KWM	KWM 433			https://archive.org/details/logbookofgraditu00grat	Joseph H. Eayrs				1841 1842 1843 1844 1845	
AL037036	Logbook of the Cleone (Bark) of New Bedford, mastered by John E. Simmons, on voyage from Aug. 1855-Apr. 1858.		1855 Aug	New Bedford, MA	1858		NBWM		2018-11-14	N Silveira	AM4373	AS0121	AV02976		KWM	KWM 438			https://archive.org/details/logbookofcleoneb00cleo	William H. Fisher				1855 1856 1857 1858	
AL037037	Logbook of the Champion (Ship) of Edgartown, mastered by Tristram Pease Ripley, on voyage from Sept. 1851-Apr. 1853		1851	Edgartown, MA	1853		NBWM		2018-11-14	N Silveira	AM4106	AS1064	AV02524		KWM	KWM 449			https://archive.org/details/logbookofchampio00cham	Richard Holley				1851 1852 1853	
AL037038	Logbook of the Coral (Bark) of San Francisco, mastered by Rodolphus Delano Wicks, on voyage from Dec. 1888-Oct. 1889		1888 Dec 4	San Francisco, CA	1889 Oct 9		NBWM		2018-11-14	N Silveira	AM5325	AS0109	AV03337		KWM	KWM 470			https://archive.org/details/logbookofcoralba00cora_0	Rodolphus Delano Wicks				1888 1889	
AL037039	Logbook of the Reindeer (Ship) of New Bedford, mastered by Edward R. Ashley, on voyage from Oct. 1856-Mar. 1860		1856 Oct 11	New Bedford, MA	1860		NBWM		2018-11-14	N Silveira	AM0173	AS0589	AV12219		KWM	KWM 475			https://archive.org/details/logbookofreindee00rein_0	Edward R. Ashley,				1856 1857 1858 1859 1860	
AL037040	Logbook of the Arnolda (Ship) of New Bedford, mastered by William Thatcher Hawes, on voyage from Dec. 1863-Apr. 1867		1863 Nov 30	New Bedford, MA	1867		NBWM		2018-11-14	N Silveira	AM2528	AS0018	AV01257		KWM	KWM 482			https://archive.org/details/logbookofarnolda00arno	William Thatcher Hawes				1863 1864 1865 1866 1867	
AL037041	Logbook of the California (Ship) of New Bedford, mastered by Daniel Wood and Wilbur P. Manchester on voyage from 22 Oct. 1851-24 May 1854		1851 Oct 22	New Bedford, MA	1854 May 24		NBWM		2018-11-13	N Silveira	AM5455	AS0093	AV02193		KWM	KWM 509			https://archive.org/details/logbookofcalifor00cali_0	Theodore D Bartley 				1851 1852 1853 1854	
AL037042	Logbook of the Phillipe De La Noye (Ship), of Fairhaven, Mass., mastered by David G. Pierce, kept by William Childs, on voyage from 1852 Sept. 6-1855 Sept. 28		1852	Fairhaven, MA	1855		NBWM		2018-10-02	N Silveira	AM3857	AS2184	AV11577		KWM	KWM 51A			https://archive.org/details/logbookofphillip00unse	William Childs				1852 1853 1854 1855	
AL037043	Logbook of the Congress (Ship), of New Bedford, Mass., mastered by John A. Castino, kept by James H. Sherman, on voyage from 1864 May 31-1867 May 15		1864 May 30	New Bedford, MA	1867 May 14		NBWM		2018-09-22	N Silveira	AM0857	AS0112	AV03254		KWM	KWM 55			https://archive.org/details/logbookofcongres00unse	James H. Sherman				1864 1865 1866 1867	
AL037044	Logbook of the Kutusoff (Ship) of New Bedford, mastered by Abraham Pierce on voyage from 9 Sept. 1851-5 May 1855		1851	New Bedford, MA	1855		NBWM		2018-11-14	N Silveira	AM3853	AS0356	AV08094		KWM	KWM 550			https://archive.org/details/logbookofkutusof00kutu					1851 1852 1853 1854 1855	
AL037045	Logbook of the Emerald (Bark) of New Bedford, mastered by Abraham Pierce on voyage from 10 Mar. 1858-22 July 1860		1857 July14	New Bedford, MA	1861 Aug 31		NBWM		2018-11-14	N Silveira	AM3853	AS0178	AV04371		KWM	KWM 552			https://archive.org/details/logbookofemerald00emer					1857 1858 1859 1860 1861	
AL037046	Logbook of the Barnstable (Bark) of New Bedford, mastered by Leonard B. Brownson, on voyage from May 1860-Apr. 1864		1860 May 21	New Bedford, MA	1864		NBWM		2018-11-14	N Silveira	AM0701	AS0718	AV01593		KWM	KWM 553			https://archive.org/details/logbookofbarnsta00barn	G.S. Clark				1860 1861 1862 1863 1864	
AL037047	Logbook of the South America (Bark) of New Bedford, mastered by Washington T. Walker, on voyage from Oct. 1855-May 1859		1855 Sept 29	New Bedford, MA	1859		NBWM		2018-11-13	N Silveira	AM2207, AM5169	AS0620	AV13265		KWM	KWM 555			https://archive.org/details/logbookofsoutham00sout	Benjamin Franklin Gallup Jr				1855 1856 1857 1858 1859	
AL037048	Logbook of the Electra (Ship) of New London, mastered by Theophilus Morgan Brown, on voyage from Aug. 1859-Mar. 1862		1859	New London, CT	1862		NBWM		2018-11-14	N Silveira	AM0679, AM0776	AS1261	AV04119		KWM	KWM 568A			https://archive.org/details/logbookofelectra00elec	Theophilus Morgan Brown				1859 1860 1861 1862	
AL037049	Logbook of the J.D. Thompson (Ship) of New London, mastered by Theophilus Morgan Brown, on voyage from May 1863-Mar. 1868		1863	New London, CT	1868		NBWM		2018-11-14	N Silveira	AM0679, AM5190	AS0345	AV07211		KWM	KWM 570			https://archive.org/details/logbookofjdthomp00jdth	Theophilus Morgan Brown				1863 1864 1865 1866 1867 1868	
AL037050	Logbook of the Thrasher (Steam bark) of San Francisco, mastered by Charles E. Weeks on voyage from Mar. 1894-Nov. 1895		1894 Mar 8	San Francisco, CA	1895		NBWM		2018-11-13	N Silveira	AM5206, AM3521, AM5030	AS2497	AV13925		KWM	KWM 588			https://archive.org/details/logbookofthrashe00thra	A. F. Weeks				1894 1895	
AL037051	Logbook of the Milo (Ship) of New Bedford, mastered by Jonathan Capen Hawes, on voyage from Nov 1863-May 1869		1863 Nov 25	New Bedford, MA	1869		NBWM		2018-11-14	N Silveira	AM2526	AS0400	AV09775		KWM	KWM 593			https://archive.org/details/logbookofmiloshi00milo_0	Augustus G. Jenney				1863 1864 1865 1866 1867 1868 1869	
AL037052	Logbook of the Emma F. Herriman (Bark) of San Francisco, mastered by E.T. Fish on voyage from 4 Dec. 1890-24 Oct. 1891		1890 Dec 4	San Francisco, CA	1891 Oct 24		NBWM		2018-11-14	N Silveira	AM1825	AS1296	AV04439		KWM	KWM 603			https://archive.org/details/logbookofemmafhe00emma	 E. Judson James				1890 1891	
AL037053	Logbook of the Corinthian (Ship), of New Bedford, Mass., mastered by Valentine Lewis, kept by H.A. Lake, Valentine Lewis, and David R. Fraser, on voyage from 1862 Aug. 30-1866 Apr. 21		1862	New Bedford, MA	1866		NBWM		2018-09-22	N Silveira	AM3111	AS0097	AV03358		KWM	KWM 62			https://archive.org/details/logbookofcorinth00unse	H.A. Lake, Valentine Lewis, and David R. Fraser				1862 1863 1864 1865 1866	
AL037054	Logboook of the John and Winthrop (Bark) of San Francisco, mastered by William F. Joseph, on voyage 21 Feb. 1912-23 Oct.		1912 Mar 21	San Francisco, CA	1912		NBWM		2018-11-14	N Silveira	AM2929	AS0355	AV07691		KWM	KWM 669			https://archive.org/details/logboookofjohnwi00john	William F. Joseph				1912	
AL037055	Logbook of the Eliza Adams (Ship), of New Bedford, Mass., mastered by Coddington P. Fish and then John Keenan, keeper unknown, on voyage from 1863 Oct. 19-1867 Apr. 22		1863 Oct 16	New Bedford, MA	1867		NBWM		2018-09-27	N Silveira	AM1824, AM2947	AS0199	AV04174		KWM	KWM 74			https://archive.org/details/logbookofelizaad00unse					1863 1864 1865 1866 1867	
AL037056	Logboook of the Alaska (Bark) of San Francisco, mastered by Charles W. Fisher, W.T. Macomber, B.B. Worth, and George W. Porter, on voyage from 4 Dec. 1890-8 Nov. 1891		1890 Dec 4	San Francisco, CA	1891		NBWM		2018-11-14	N Silveira	AM1854, AM5484	AS0041	AV00385		KWM	KWM 874			https://archive.org/details/logboookofalaska00alas					1890 1891	
AL037057	Logbook of the Cape Horn Pigeon (Bark) of San Francisco, mastered by Thomas Scullan, on voyage from 5 Dec. 1891-6 Nov. 1892		1891	San Francisco, CA	1892		NBWM		2018-11-14	N Silveira	AM4287	AS0701	AV02352		KWM	KWM 875			https://archive.org/details/logboookofcapeho00cape					1891 1892	
AL037058	Logboook of the Beluga (Steam bark) of San Francisco, mastered by Hartson H. Bodfish, on voyage 30 Mar. 1897-4 Oct. 1899		1897 Mar 30	San Francisco, CA	1899 Oct 3		NBWM		2018-11-14	N Silveira	AM0495	AS0966	AV01671		KWM	KWM 895			https://archive.org/details/logboookofbeluga00belu	Hartson H. Bodfish				1897 1898 1899	
AL037059	Logbook of the Helen Augusta (Ship) of Newport, mastered by Nathaniel Fales, Jr., on voyage from Dec 1850-May 1854		1850	Newport, RI	1854		NBWM		2018-11-14	N Silveira	AM1805	AS1562	AV06325		KWM	KWM 917			https://archive.org/details/logbookofhelenau00hele	Solomon R. Locke				1850 1851 1852 1853 1854	
AL037060	Logbook of the Cossack (Bark) of New Bedford, mastered by Charles Slocum on voyage Oct. 1850-May 1853		1850	New Bedford, MA	1853		NBWM		2018-11-01	N Silveira	AM4392	AS0122	AV03425		KWM	KWM 968			https://archive.org/details/logbookofcossack00coss	Benjamin Franklin Homan				1850 1851 1852 1853	
AL037061	Logbook of the Good Return (Ship) of New Bedford, Mass., mastered by John Smith Taber, on voyage 21 October 1841 - 3 May 1844		1841 Oct 21	New Bedford, MA	1844 May 3		NBWM		2018-11-13	N Silveira	AM4953	AS0218	AV05900		KWM	KWM 97			https://archive.org/details/logbookofgoodret00good	John Smith Taber				1841 1842 1843 1844	
AL037062	Logbook of the Hunter (Bark) of San Francisco, mastered by Benjamin Franklin Homan on voyage Dec 1878-Nov 1879		1878 Dec 27	San Francisco, CA	1879 Nov 10		NBWM		2018-11-13	N Silveira	AM2662	AS0288	AV06863		KWM	KWM 970			https://archive.org/details/logbookofhunterb00hunt	Benjamin Franklin Homan				1878 1879	
AL037063	Logbook of the Hudson (Ship) of Fairhaven, Mass., mastered by David Marston on voyage from 26 Nov. 1855-25 Apr. 1859		1855 Nov 21	Fairhaven, MA	1859		NBWM		2018-09-22	N Silveira	AM3333	AS0293	AV06825		KWM	KWM105			https://archive.org/details/logbookofhudsons00huds					1855 1856 1857 1858 1859	
AL037064	Logbook of the Louisa (Bark) of New Bedford, Mass., mastered by Robert T. Wyatt, kept by Jason L. Braley, on voyage from 20 Nov. 1850-12 May 1853		1850	New Bedford, MA	1853		NBWM		2018-09-22	N Silveira	AM5518	AS0388	AV08577		KWM	KWM130B			https://archive.org/details/logbookoflouisab00loui	Jason L. Braley				1850 1851 1852 1853	
AL037065	Logbook of the Mount Vernon (Ship: 1820-1856) of New Bedford, Mass., mastered by James Monroe Willis, kept by James Monroe Willis, on voyage from 5 Sept. 1849-18 May 1852		1849	New Bedford, MA	1852		NBWM		2018-10-05	N Silveira	AM5382	AS0437	AV10122		KWM	KWM176	Microfilm Reel 14		https://archive.org/details/logbookofmountve00moun	James Monroe Willis				1849 1850 1851 1852	
AL037066	Logbook of the Roman 2nd (Ship) of New Bedford, Mass., mastered by Pardon Tripp kept by Cephas L. Thomas, on voyage from 1 Aug. 1850-11 May 1854		1850 July 31	New Bedford, MA	1854		NBWM		2018-10-08	N Silveira	AM5094	AS0580	AV12482		KWM	KWM176			https://archive.org/details/logbookofroman2n00roma	Cephas L. Thomas				1850 1851 1852 1853 1854	
AL037067	Logbook of the Rousseau (Ship) of New Bedford, Mass.; mastered by Pardon Taber, Jr., on voyage from 9 May 1849-3 June 1853		1849	New Bedford, MA	1853		NBWM		2018-10-20	N Silveira	AM4961	AS0578	AV12622		KWM	KWM178	Microfilm Reel 17		https://archive.org/details/logbookofroussea00rous					1849 1850 1851 1852 1853	
AL037068	Logbook of the Roman (Ship), of New Bedford, Mass., mastered by Michael Cumisky, kept by Clothier Pierce, on voyage from 1851 Dec. 21-1855 Sept. 1		1851	New Bedford, MA	1855		NBWM		2018-10-08	N Silveira	AM1459	AS0579	AV12469		KWM	KWM319B	Microfilm Reel 36		https://archive.org/details/logbookofromansh00roma	Clothier Pierce Jr				1851 1852 1853 1854 1855	
AL049001	Logbook, 1848-1851 Superior	Log of a whaling voyage taken by SUPERIOR(Ship) from May 20, 1848 to April 4, 1851 to the Pacific. Entries include navigational and weather data, death at sea, injury and illness. During the voyage the vessel was re-rigged from a bark to a ship. The number of ships spoke during the voyage was 48.	1858	New London, CT	1851		MSM		2018-09-10	AC	AM4391	AS2448	AV13560	James R. Sloan	MSM	Log 1054		http://m94041.eos-intl.net/M94041/OPAC/Details/Record.aspx?BibCode=33479584	https://research.mysticseaport.org/item/l0201510/			http://images.mysticseaport.org/images/l0201510/l0201510-004-r.jpg	Log 1054, Manuscripts Collection, G.W. Blunt White Library, Mystic Seaport Museum, Inc.	1848 1849 1850 1851	
AL049002	Logbook, 1841-1845 Charles W. Morgan	Journal kept by James C. Osborn on board the ship CHARLES W. MORGAN of New Bedford, Massachusetts, Thomas Adams Norton, master, for a voyage to the Pacific Ocean whaling grounds. Contains whale stamps, illustrations, made 14 ports-of-call and spoke 56 other vessels.	1841	New Bedford, MA	1845		MSM		2018-09-11	AC	AM3627	AS0089	AV02712	Thomas Adams Norton	MSM	Log 143		http://m94041.eos-intl.net/M94041/OPAC/Details/Record.aspx?BibCode=11717722	https://research.mysticseaport.org/item/l030777/	James C. Osborn		http://images.mysticseaport.org/images/l030777/l030777-001-r.jpg	Log 143, Manuscripts Collection, G. W. Blunt White Library, Mystic Seaport Museum, Inc.	1841 1842 1843 1844 1845	
AL049003	Journal, 1849-1853 Charles W. Morgan	Journal kept by Nelson Cole Haley on board the ship CHARLES W. MORGAN of New Bedford, Massachusetts, John D. Sampson master, for a voyage to the Pacific Ocean whaling grounds. Mentions injury at sea, and native contacts. Made 21 ports-of-call, and spoke 3 vessels.	1849	New Bedford, MA	1853		MSM		2018-09-06	AC	AM4237	AS0089	AV02714	John D. Sampson	MSM	Log 145		http://m94041.eos-intl.net/M94041/OPAC/Details/Record.aspx?BibCode=11602848	https://research.mysticseaport.org/item/l030775/	Nathan Cole Haley	AE027141014, AM0156	http://images.mysticseaport.org/images/l030775/l030775-040-r.jpg	Log 145, Manuscripts Collection, G. W. Blunt White Library, Mystic Seaport Museum, Inc.	1849 1850 1851 1852 1853	
AL049004	Journal, 1863-1867 Charles W. Morgan	Journal kept by Charles W. Chace on board the ship CHARLES W. MORGAN of New Bedford, Massachusetts, Thomas C. Landers, master, for a voyage to the Atlantic and Pacific Ocean whaling grounds. Contains inventory of ship's stores and whale oil, mentions family on board (Mrs. Thomas C. Landers, master's wife), made 13 ports-of-call, and spoke 21 other vessels.	1863	New Bedford, MA	1867		MSM		2018-09-06	AC	AM4852	AS0089	AV02720	Thomas C. Landers	MSM	Log 146	MR 16	http://m94041.eos-intl.net/M94041/OPAC/Details/Record.aspx?BibCode=11717551	https://research.mysticseaport.org/item/l030774/	Charles W. Chase		http://images.mysticseaport.org/images/l030774/l030774-076-r.jpg	Log 146, Manuscripts Collection, G. W. Blunt White Library, Mystic Seaport Museum, Inc.	1863 1864 1865 1866 1867	
