DWid	DW	voyageID	voyage	vesselID	vessel	agentID	agent	masterID	master	DWlink	other_years	port	change_date	changer
AD10011	1-001	AV00102	Abigail : 1831-1835	AS0001	Abigail			AM0991	Clark, Benjamin	https://archive.org/details/abstractsofwhali1183denn/page/n34	1831 1832 1833 1834 1835	New Bedford, MA	2021-10-04	
AD10012	1-001	AV00103	Abigail : 1835-1838	AS0001	Abigail	AA0890	Morgan, Charles W.	AM4060	Reynard, William Hathaway	https://archive.org/details/abstractsofwhali1183denn/page/n34	1835 1836 1837 1838	New Bedford, MA	2021-10-04	
AD10013	1-001	AV00105	Abigail : 1839	AS0001	Abigail	AA0890	Morgan, Charles W.	AM1403	Cox, James V.	https://archive.org/details/abstractsofwhali1183denn/page/n34	1839	New Bedford, MA	2021-10-04	
AD10014	1-001	AV00106	Abigail : 1839-1843	AS0001	Abigail			AM1403	Cox, James V.	https://archive.org/details/abstractsofwhali1183denn/page/n34	1839 1840 1841 1842 1843	New Bedford, MA	2021-10-04	
AD10015	1-001	AV00107	Abigail : 1843-1847	AS0001	Abigail	AA0890	Morgan, Charles W.	AM5702	Barnard, David C.	https://archive.org/details/abstractsofwhali1183denn/page/n34	1843 1844 1845 1846 1847	New Bedford, MA	2021-10-04	
AD10021	1-002	AV01000	Ann Alexander : 1832-1835	AS0007	Ann Alexander	AA0636	Howland, George	AM4331	Shepherd, James	https://archive.org/details/abstractsofwhali1183denn/page/n35	1832 1833 1834 1835	New Bedford, MA	2021-10-04	
AD10022	1-002	AV01001	Ann Alexander : 1836-1837	AS0007	Ann Alexander	AA0636	Howland, George	AM0233	Bailey, Joseph A., Jr.	https://archive.org/details/abstractsofwhali1183denn/page/n35	1836 1837	New Bedford, MA	2021-10-04	
AD10023	1-002	AV01002	Ann Alexander : 1837-1838	AS0007	Ann Alexander	AA0636	Howland, George	AM0233	Bailey, Joseph A., Jr.	https://archive.org/details/abstractsofwhali1183denn/page/n35	1837 1838	New Bedford, MA	2021-10-04	
AD10024	1-002	AV01003	Ann Alexander : 1838-1841	AS0007	Ann Alexander	AA0636	Howland, George	AM1601	Dornin, John B.	https://archive.org/details/abstractsofwhali1183denn/page/n35	1838 1839 1840 1841	New Bedford, MA	2021-10-04	
AD10025	1-002	AV01004	Ann Alexander : 1841-1845	AS0007	Ann Alexander	AA0636	Howland, George	AM4961	Taber, Pardon, Jr. or II	https://archive.org/details/abstractsofwhali1183denn/page/n35	1841 1842 1843 1844 1845	New Bedford, MA	2021-10-04	
AD10031	1-003	AV00871	Amethyst : 1832-1835	AS0008	Amethyst	AA0952	Parker, John A. & Sons	AM1878	Fisher, Jonathan	https://archive.org/details/abstractsofwhali1183denn/page/n36	1832 1833 1834 1835	New Bedford, MA	2021-10-04	
AD10032	1-003	AV00873	Amethyst : 1836-1838	AS0008	Amethyst	AA0951	Parker, John A. & Son	AM2749	Howland, Warren	https://archive.org/details/abstractsofwhali1183denn/page/n36	1836 1837 1838	New Bedford, MA	2021-10-04	
AD10033	1-003	AV00875	Amethyst : 1838-1840	AS0008	Amethyst	AA0951	Parker, John A. & Son	AM4056	Reynard, Owen	https://archive.org/details/abstractsofwhali1183denn/page/n36	1838 1839 1840	New Bedford, MA	2021-10-04	
AD10034	1-003	AV00876	Amethyst : 1840-1842	AS0008	Amethyst	AA0951	Parker, John A. & Son	AM0472	Black, Joseph	https://archive.org/details/abstractsofwhali1183denn/page/n36	1840 1841 1842	New Bedford, MA	2021-10-04	
AD10035	1-003	AV00877	Amethyst : 1842-1844	AS0008	Amethyst	AA0951	Parker, John A. & Son	AM4057	Reynard, Robert P.	https://archive.org/details/abstractsofwhali1183denn/page/n36	1842 1843 1844	New Bedford, MA	2021-10-04	
AD10041	1-004	AV01347	Atlantic : 1845-1848	AS0923	Atlantic	AA0852	Miner, Lawrence & Co.	AM0414	Beck, William	https://archive.org/details/abstractsofwhali1183denn/page/n37	1845 1846 1847 1848	New London, CT	2021-10-04	
AD10042	1-004	AV01451	Averick : 1834-1836	AS0011	Averick	AA0951	Parker, John A. & Son	AM4316	Shearman, Humphrey	https://archive.org/details/abstractsofwhali1183denn/page/n37	1834 1835 1836	New Bedford, MA	2021-10-04	
AD10043	1-004	AV01452	Averick : 1836-1840	AS0011	Averick	AA0951	Parker, John A. & Son	AM3041	Lawrence, George F.	https://archive.org/details/abstractsofwhali1183denn/page/n37	1836 1837 1838 1839 1840	New Bedford, MA	2021-10-04	
AD10044	1-004	AV01453	Averick : 1840-1844	AS0011	Averick	AA0951	Parker, John A. & Son	AM3433	Mickell, Thomas, Jr.	https://archive.org/details/abstractsofwhali1183denn/page/n37	1840 1841 1842 1843 1844	New Bedford, MA	2021-10-04	
AD10051	1-005	AV00459	Alexander : 1835-1838	AS0005	Alexander	AA0952	Parker, John A. & Sons	AM3969	Price, Simeon	https://archive.org/details/abstractsofwhali1183denn/page/n38	1835 1836 1837 1838	New Bedford, MA	2021-10-04	
AD10052	1-005	AV00460	Alexander : 1838-1842	AS0005	Alexander	AA0951	Parker, John A. & Son	AM4697	Stetson, Charles	https://archive.org/details/abstractsofwhali1183denn/page/n38	1838 1839 1840 1841 1842	New Bedford, MA	2021-10-04	
AD10053	1-005	AV00461	Alexander : 1842-1846	AS0005	Alexander	AA0949	Parker, John A.	AM1601	Dornin, John B.	https://archive.org/details/abstractsofwhali1183denn/page/n38	1842 1843 1844 1845 1846	New Bedford, MA	2021-10-04	
AD10061	1-006	AV01410	Augusta : 1830-1834	AS0010	Augusta	AA1065	Rodman, William R.	AM3039	Lawrence, Charles	https://archive.org/details/abstractsofwhali1183denn/page/n39	1830 1831 1832 1833 1834	New Bedford, MA	2021-10-04	
AD10062	1-006	AV01411	Augusta : 1834-1837	AS0010	Augusta	AA1065	Rodman, William R.	AM3039	Lawrence, Charles	https://archive.org/details/abstractsofwhali1183denn/page/n39	1834 1835 1836 1837	New Bedford, MA	2021-10-04	
AD10063	1-006	AV01412	Augusta : 1838-1842	AS0010	Augusta			AM3039	Lawrence, Charles	https://archive.org/details/abstractsofwhali1183denn/page/n39	1838 1839 1840 1841 1842	New Bedford, MA	2021-10-04	
AD10064	1-006	AV01413	Augusta : 1842-1845	AS0010	Augusta	AA1065	Rodman, William R.	AM1522	Davis, Henry W.	https://archive.org/details/abstractsofwhali1183denn/page/n39	1842 1843 1844 1845	New Bedford, MA	2021-10-04	
AD10071	1-007	AV00809	America : 1835-1838	AS0006	America	AA0641	Howland, I., Jr. & Co.	AM2194	Gifford, Elihu	https://archive.org/details/abstractsofwhali1183denn/page/n40	1835 1836 1837 1838	New Bedford, MA	2021-10-04	
AD10072	1-007	AV00812	America : 1838-1840	AS0006	America	AA0641	Howland, I., Jr. & Co.	AM1235	Cole, John	https://archive.org/details/abstractsofwhali1183denn/page/n40	1838 1839 1840	New Bedford, MA	2021-10-04	
AD10073	1-007	AV00815	America : 1843-1845	AS0006	America	AA0641	Howland, I., Jr. & Co.	AM1851	Fisher, Alfred Kendrick	https://archive.org/details/abstractsofwhali1183denn/page/n40	1843 1844 1845	New Bedford, MA	2021-10-04	
AD10074	1-007	AV00814	America : 1840-1842	AS0006	America	AA0641	Howland, I., Jr. & Co.	AM1851	Fisher, Alfred Kendrick	https://archive.org/details/abstractsofwhali1183denn/page/n40	1840 1841 1842	New Bedford, MA	2021-10-04	
AD10081	1-008	AV00209	Acushnet : 1841-1845	AS0819	Acushnet	AA0147	Bradford, Fuller & Co.	AM4866	Pease, Valentine	https://archive.org/details/abstractsofwhali1183denn/page/n41	1841 1842 1843 1844 1845	Fairhaven, MA	2021-10-04	
AD10082	1-008	AV00810	America : 1836	AS0056	America	AA0544	Grinnell, Lawrence	AM2527	Hawes, Shubael	https://archive.org/details/abstractsofwhali1183denn/page/n41	1836	New Bedford, MA	2021-10-04	
AD10083	1-008	AV00811	America : 1836-1837	AS0056	America	AA0544	Grinnell, Lawrence	AM2828	Hutchins, Robert	https://archive.org/details/abstractsofwhali1183denn/page/n41	1836 1837	New Bedford, MA	2021-10-04	
AD10091	1-009	AV00332	Agate : 1836	AS0004	Agate			AM4288	Seabury, A. H.	https://archive.org/details/abstractsofwhali1183denn/page/n42	1836	New Bedford, MA	2021-10-04	
AD10092	1-009	AV00333	Agate : 1836	AS0004	Agate			AM3247	Macomber, Perry Gifford	https://archive.org/details/abstractsofwhali1183denn/page/n42	1836	New Bedford, MA	2021-10-04	
AD10093	1-009	AV00334	Agate : 1836-1837	AS0004	Agate			AM1345	Cornell, Peleg	https://archive.org/details/abstractsofwhali1183denn/page/n42	1836 1837	New Bedford, MA	2021-10-04	
AD10094	1-009	AV00335	Agate : 1838	AS0004	Agate			AM2727	Howland, J.	https://archive.org/details/abstractsofwhali1183denn/page/n42	1838	New Bedford, MA	2021-10-04	
AD10095	1-009	AV00336	Agate : 1838-1840	AS0004	Agate			AM3024	Landre, Ambrose S.	https://archive.org/details/abstractsofwhali1183denn/page/n42	1838 1839 1840	New Bedford, MA	2021-10-04	
AD10096	1-009	AV00337	Agate : 1840-1841	AS0004	Agate	AA1112	Seabury, A. H.	AM4634	Spooner, Joseph	https://archive.org/details/abstractsofwhali1183denn/page/n42	1840 1841	New Bedford, MA	2021-10-04	
AD10097	1-009	AV00338	Agate : 1841-1842	AS0004	Agate	AA0998	Pope & Morgan	AM1345	Cornell, Peleg	https://archive.org/details/abstractsofwhali1183denn/page/n42	1841 1842	New Bedford, MA	2021-10-04	
AD10098	1-009	AV00339	Agate : 1842-1843	AS0004	Agate			AM1345	Cornell, Peleg	https://archive.org/details/abstractsofwhali1183denn/page/n42	1842 1843	New Bedford, MA	2021-10-04	
AD10099	1-009	AV00340	Agate : 1843-1844	AS0004	Agate	AA1047	Ricketson, Barton	AM5151	Vincent, Jesse S.	https://archive.org/details/abstractsofwhali1183denn/page/n42	1843 1844	New Bedford, MA	2021-10-04	
AD10101	1-010	AV01149	Arab : 1831-1834	AS0039	Arab	AA1214	Stoddard, Alden D.	AM0744	Bunker, Samuel	https://archive.org/details/abstractsofwhali1183denn/page/n43	1831 1832 1833 1834	Fairhaven, MA	2021-10-04	
AD10102	1-010	AV01152	Arab : 1835-1837	AS0039	Arab			AM4180	Russell, Charles C.	https://archive.org/details/abstractsofwhali1183denn/page/n43	1835 1836 1837	Fairhaven, MA	2021-10-04	
AD10103	1-010	AV01155	Arab : 1837-1839	AS0039	Arab	AA1110	Sawin, Ezekiel	AM4180	Russell, Charles C.	https://archive.org/details/abstractsofwhali1183denn/page/n43	1837 1838 1839	Fairhaven, MA	2021-10-04	
AD10104	1-010	AV01158	Arab : 1840-1843	AS0039	Arab	AA1265	Terry, Isaiah F.	AM5515	Wrightington, Ezra	https://archive.org/details/abstractsofwhali1183denn/page/n43	1840 1841 1842 1843	Fairhaven, MA	2021-10-04	
AD10105	1-010	AV01160	Arab : 1843-1846	AS0039	Arab	AA1265	Terry, Isaiah F.	AM5515	Wrightington, Ezra	https://archive.org/details/abstractsofwhali1183denn/page/n43	1843 1844 1845 1846	Fairhaven, MA	2021-10-04	
AD10111	1-011	AV00528	Alfred : 1845-1852	AS0016	Alfred	AA0998	Pope & Morgan	AM1508	Davenport, John Pope	https://archive.org/details/abstractsofwhali1183denn/page/n44	1845 1846 1847 1848 1849 1850 1851 1852	New Bedford, MA	2021-10-04	
AD10112	1-011	AV00707	Alto : 1836-1837	AS0012	Alto	AA1214	Stoddard, Alden D.	AM0800	Calder, Robert	https://archive.org/details/abstractsofwhali1183denn/page/n44	1836 1837	Fairhaven, MA	2021-10-04	
AD10113	1-011	AV00708	Alto : 1838-1840	AS0012	Alto	AA1214	Stoddard, Alden D.	AM0800	Calder, Robert	https://archive.org/details/abstractsofwhali1183denn/page/n44	1838 1839 1840	Fairhaven, MA	2021-10-04	
AD10114	1-011	AV00709	Alto : 1840-1843	AS0012	Alto	AA1214	Stoddard, Alden D.	AM1155	Coffin, James Madison	https://archive.org/details/abstractsofwhali1183denn/page/n44	1840 1841 1842 1843	Fairhaven, MA	2021-10-04	
AD10121	1-012	AV00222	Addison : 1833-1834	AS0003	Addison	AA0509	Gibbs & Jenney	AM0408	Baylies, Gustavus Adolphus	https://archive.org/details/abstractsofwhali1183denn/page/n45	1833 1834	Fairhaven, MA	2021-10-04	
AD10122	1-012	AV00223	Addison : 1834-1837	AS0003	Addison	AA0509	Gibbs & Jenney	AM3727	Parker, Avery Fortunee	https://archive.org/details/abstractsofwhali1183denn/page/n45	1834 1835 1836 1837	Fairhaven, MA	2021-10-04	
AD10123	1-012	AV00224	Addison : 1838-1841	AS0003	Addison	AA1112	Seabury, A. H.	AM5070	Tower, William E.	https://archive.org/details/abstractsofwhali1183denn/page/n45	1838 1839 1840 1841	New Bedford, MA	2021-10-04	
AD10124	1-012	AV00225	Addison : 1841-1845	AS0003	Addison	AA1043	Richmond, Isaac B.	AM5260	West, Thomas	https://archive.org/details/abstractsofwhali1183denn/page/n45	1841 1842 1843 1844 1845	New Bedford, MA	2021-10-04	
AD10131	1-013	AV01077	Ansel Gibbs : 1835-1839	AS0046	Ansel Gibbs	AA0509	Gibbs & Jenney	AM3787	Pease, Tristram Daggett	https://archive.org/details/abstractsofwhali1183denn/page/n46	1835 1836 1837 1838 1839	Fairhaven, MA	2021-10-04	
AD10132	1-013	AV01078	Ansel Gibbs : 1839-1842	AS0046	Ansel Gibbs	AA0509	Gibbs & Jenney	AM5250	West, Isaiah	https://archive.org/details/abstractsofwhali1183denn/page/n46	1839 1840 1841 1842	Fairhaven, MA	2021-10-04	
AD10133	1-013	AV01079	Ansel Gibbs : 1843-1845	AS0046	Ansel Gibbs	AA0509	Gibbs & Jenney	AM5250	West, Isaiah	https://archive.org/details/abstractsofwhali1183denn/page/n46	1843 1844 1845	Fairhaven, MA	2021-10-04	
AD10141	1-014	AV00399	Albion : 1833-1834	AS0042	Albion	AA1110	Sawin, Ezekiel	AM1224	Coggeshall, John E.	https://archive.org/details/abstractsofwhali1183denn/page/n47	1833 1834	Fairhaven, MA	2021-10-04	
AD10142	1-014	AV00401	Albion : 1834-1836	AS0042	Albion	AA1110	Sawin, Ezekiel	AM4041	Read, Sheffel	https://archive.org/details/abstractsofwhali1183denn/page/n47	1834 1835 1836	Fairhaven, MA	2021-10-04	
AD10143	1-014	AV00402	Albion : 1836-1838	AS0042	Albion	AA1110	Sawin, Ezekiel	AM2494	Hathaway, Humphrey	https://archive.org/details/abstractsofwhali1183denn/page/n47	1836 1837 1838	Fairhaven, MA	2021-10-04	
AD10144	1-014	AV00403	Albion : 1838-1840	AS0042	Albion	AA1110	Sawin, Ezekiel	AM4458	Smith, Austin	https://archive.org/details/abstractsofwhali1183denn/page/n47	1838 1839 1840	Fairhaven, MA	2021-10-04	
AD10145	1-014	AV00404	Albion : 1840-1842	AS0042	Albion	AA1110	Sawin, Ezekiel	AM4458	Smith, Austin	https://archive.org/details/abstractsofwhali1183denn/page/n47	1840 1841 1842	Fairhaven, MA	2021-10-04	
AD10146	1-014	AV00405	Albion : 1842-1844	AS0042	Albion	AA1110	Sawin, Ezekiel	AM2877	Jenney, Jahaziel	https://archive.org/details/abstractsofwhali1183denn/page/n47	1842 1843 1844	Fairhaven, MA	2021-10-04	
AD10151	1-015	AV00748	Amazon : 1833-1837	AS0853	Amazon	AA1110	Sawin, Ezekiel	AM1416	Creasey, Reuben	https://archive.org/details/abstractsofwhali1183denn/page/n48	1833 1834 1835 1836 1837	Fairhaven, MA	2021-10-04	
AD10152	1-015	AV00749	Amazon : 1837-1839	AS0853	Amazon	AA1110	Sawin, Ezekiel	AM3243	Macomber, John Arnold	https://archive.org/details/abstractsofwhali1183denn/page/n48	1837 1838 1839	Fairhaven, MA	2021-10-04	
AD10153	1-015	AV00750	Amazon : 1839-1841	AS0853	Amazon	AA0234	Church, Nathan or E. Sawin	AM4545	Smith, Robert G.	https://archive.org/details/abstractsofwhali1183denn/page/n48	1839 1840 1841	Fairhaven, MA	2021-10-04	
AD10154	1-015	AV00751	Amazon : 1841-1845	AS0853	Amazon	AA0233	Church, Nathan	AM1017	Clark, Uriah	https://archive.org/details/abstractsofwhali1183denn/page/n48	1841 1842 1843 1844 1845	Fairhaven, MA	2021-10-04	
AD10161	1-016	AV01150	Arab : 1833-1835	AS0899	Arab	AA1110	Sawin, Ezekiel	AM1401	Cox, Arthur	https://archive.org/details/abstractsofwhali1183denn/page/n49	1833 1834 1835	Fairhaven, MA	2021-10-04	
AD10162	1-016	AV01151	Arab : 1835-1836	AS0899	Arab	AA1110	Sawin, Ezekiel	AM1401	Cox, Arthur	https://archive.org/details/abstractsofwhali1183denn/page/n49	1835 1836	Fairhaven, MA	2021-10-04	
AD10163	1-016	AV01153	Arab : 1836-1838	AS0899	Arab	AA1110	Sawin, Ezekiel	AM2873	Jenney, Elisha C.	https://archive.org/details/abstractsofwhali1183denn/page/n49	1836 1837 1838	Fairhaven, MA	2021-10-04	
AD10164	1-016	AV01156	Arab : 1838-1840	AS0899	Arab	AA1110	Sawin, Ezekiel	AM1475	Cushman, Benjamin	https://archive.org/details/abstractsofwhali1183denn/page/n49	1838 1839 1840	Fairhaven, MA	2021-10-04	
AD10165	1-016	AV01157	Arab : 1840-1842	AS0899	Arab	AA1110	Sawin, Ezekiel	AM1401	Cox, Arthur	https://archive.org/details/abstractsofwhali1183denn/page/n49	1840 1841 1842	Fairhaven, MA	2021-10-04	
AD10166	1-016	AV01159	Arab : 1842-1845	AS0899	Arab	AA1110	Sawin, Ezekiel	AM2435	Harding, Ephraim	https://archive.org/details/abstractsofwhali1183denn/page/n49	1842 1843 1844 1845	Fairhaven, MA	2021-10-04	
AD10171	1-017	AV01043	Annawan : 1836	AS0887	Annawan	AA0097	Barstow, Gideon & Son	AM4568	Snow	https://archive.org/details/abstractsofwhali1183denn/page/n50	1836	Rochester, MA (Mattapoisett)	2021-10-04	
AD10172	1-017	AV01044	Annawan : 1836-1837	AS0887	Annawan	AA0097	Barstow, Gideon & Son	AM2398	Hammond, Charles B.	https://archive.org/details/abstractsofwhali1183denn/page/n50	1836 1837	Rochester, MA (Mattapoisett)	2021-10-04	
AD10173	1-017	AV01045	Annawan : 1837-1838	AS0887	Annawan	AA0095	Barstow, G. & Co.	AM4568	Snow	https://archive.org/details/abstractsofwhali1183denn/page/n50	1837 1838	Rochester, MA (Mattapoisett)	2021-10-04	
AD10174	1-017	AV01046	Annawan : 1838-1839	AS0887	Annawan	AA0097	Barstow, Gideon & Son	AM4587	Snow	https://archive.org/details/abstractsofwhali1183denn/page/n50	1838 1839	Rochester, MA (Mattapoisett)	2021-10-04	
AD10175	1-017	AV12031	Quito : 1838-1839	AS0558	Quito	AA1110	Sawin, Ezekiel	AM5200	Webb, Otis	https://archive.org/details/abstractsofwhali1183denn/page/n50	1838 1839	Fairhaven, MA	2021-10-04	
AD10176	1-017	AV12039	Quito : 1840-1841	AS0558	Quito			AM1914	Flanders, Richard	https://archive.org/details/abstractsofwhali1183denn/page/n50	1840 1841	Rochester, MA	2021-10-04	
AD10181	1-018	AV00832	America : 1845-1847	AS0861	America	AA1142	Smiley, W. H. & C. E. Bell	AM4564	Smyley, James W.	https://archive.org/details/abstractsofwhali1183denn/page/n51	1845 1846 1847	Newport, RI	2021-10-04	
AD10182	1-018	AV01462	Awashonks : 1833-1836	AS0031	Awashonks	AA1239	Swift, Elijah	AM1182	Coffin, Prince	https://archive.org/details/abstractsofwhali1183denn/page/n51	1833 1834 1835 1836	Falmouth, MA	2021-10-04	
AD10183	1-018	AV01465	Awashonks : 1836-1840	AS0031	Awashonks	AA1239	Swift, Elijah	AM3782	Pease, Rufus F.	https://archive.org/details/abstractsofwhali1183denn/page/n51	1836 1837 1838 1839 1840	Falmouth, MA	2021-10-04	
AD10184	1-018	AV01466	Awashonks : 1840-1843	AS0031	Awashonks	AA1239	Swift, Elijah	AM3782	Pease, Rufus F.	https://archive.org/details/abstractsofwhali1183denn/page/n51	1840 1841 1842 1843	Falmouth, MA	2021-10-04	
AD10191	1-019	AV00665	Almira : 1833-1837	AS0806	Almira	AA0936	Osborn, Abraham	AM3320	Marchant, Henry Hubbard (Hobart)	https://archive.org/details/abstractsofwhali1183denn/page/n52	1833 1834 1835 1836 1837	Edgartown, MA	2021-10-04	
AD10192	1-019	AV00666	Almira : 1837-1839	AS0806	Almira	AA0936	Osborn, Abraham	AM1914	Flanders, Richard	https://archive.org/details/abstractsofwhali1183denn/page/n52	1837 1838 1839	Edgartown, MA	2021-10-04	
AD10193	1-019	AV00667	Almira : 1839-1843	AS0806	Almira	AA0936	Osborn, Abraham	AM5053	Tobey, Isaiah N.	https://archive.org/details/abstractsofwhali1183denn/page/n52	1839 1840 1841 1842 1843	Edgartown, MA	2021-10-04	
AD10194	1-019	AV00668	Almira : 1843-1847	AS0806	Almira	AA0936	Osborn, Abraham	AM0111	Alley, Charles C.	https://archive.org/details/abstractsofwhali1183denn/page/n52	1843 1844 1845 1846 1847	Edgartown, MA	2021-10-04	
AD10201	1-020	AV01433	Aurora : 1833-1837	AS0936	Aurora	AA0815	Macy, T. & P.	AM2812	Hussey, John, Jr.	https://archive.org/details/abstractsofwhali1183denn/page/n53	1833 1834 1835 1836 1837	Nantucket, MA	2021-10-04	
AD10202	1-020	AV01434	Aurora : 1837-1840	AS0936	Aurora	AA0816	Macy, Thomas	AM2812	Hussey, John, Jr.	https://archive.org/details/abstractsofwhali1183denn/page/n53	1837 1838 1839 1840	Nantucket, MA	2021-10-04	
AD10203	1-020	AV01435	Aurora : 1841-1844	AS0936	Aurora	AA0815	Macy, T. & P.	AM1144	Coffin, Frederick William	https://archive.org/details/abstractsofwhali1183denn/page/n53	1841 1842 1843 1844	Nantucket, MA	2021-10-04	
AD10211	1-021	AV01322	Atlantic : 1832-1835	AS0922	Atlantic	AA0496	Gardner, P. & B.	AM1857	Fisher, Elihu	https://archive.org/details/abstractsofwhali1183denn/page/n54	1832 1833 1834 1835	Nantucket, MA	2021-10-04	
AD10212	1-021	AV01323	Atlantic : 1836-1838	AS0922	Atlantic	AA0035	Athearn, James	AM4212	Russell, Thomas	https://archive.org/details/abstractsofwhali1183denn/page/n54	1836 1837 1838	Nantucket, MA	2021-10-04	
AD10213	1-021	AV01324	Atlantic : 1839-1843	AS0922	Atlantic	AA0698	Jones, Daniel	AM2627	Hoeg, George C.	https://archive.org/details/abstractsofwhali1183denn/page/n54	1839 1840 1841 1842 1843	Nantucket, MA	2021-10-04	
AD10214	1-021	AV01325	Atlantic : 1843-1846	AS0922	Atlantic	AA0501	Gardner, Robert F.	AM1251	Coleman, James	https://archive.org/details/abstractsofwhali1183denn/page/n54	1843 1844 1845 1846	Nantucket, MA	2021-10-04	
AD10221	1-022	AV00413	Alciope : 1842-1844	AS0797	Alciope	AA1001	Post & Sherry	AM3746	Payne, Benjamin C.	https://archive.org/details/abstractsofwhali1183denn/page/n55	1842 1843 1844	Sag Harbor, NY	2021-10-04	
AD10222	1-022	AV00965	Ann : 1833-1836	AS0884	Ann	AA0272	Coffin, Jared	AM0619	Brock, Peter C.	https://archive.org/details/abstractsofwhali1183denn/page/n55	1833 1834 1835 1836	Nantucket, MA	2021-10-04	
AD10223	1-022	AV00966	Ann : 1837-1841	AS0884	Ann	AA0272	Coffin, Jared	AM0619	Brock, Peter C.	https://archive.org/details/abstractsofwhali1183denn/page/n55	1837 1838 1839 1840 1841	Nantucket, MA	2021-10-04	
AD10224	1-022	AV00971	Ann : 1841-1842	AS0884	Ann	AA0631	Howland & Hussey	AM0130	Almy, Holder	https://archive.org/details/abstractsofwhali1183denn/page/n55	1841 1842	New Bedford, MA	2021-10-04	
AD10231	1-023	AV00513	Alexander Coffin : 1832-1836	AS0013	Alexander Coffin			AM0251	Baker, David	https://archive.org/details/abstractsofwhali1183denn/page/n58	1832 1833 1834 1835 1836	Nantucket, MA	2021-10-04	
AD10232	1-023	AV00514	Alexander Coffin : 1836-1840	AS0013	Alexander Coffin	AA0878	Mitchell, Richard	AM1282	Congdon, John Carey	https://archive.org/details/abstractsofwhali1183denn/page/n58	1836 1837 1838 1839 1840	Nantucket, MA	2021-10-04	
AD10233	1-023	AV00515	Alexander Coffin : 1840-1844	AS0013	Alexander Coffin	AA0879	Mitchell, Richard & Sons	AM5526	Wyer, Samuel C.	https://archive.org/details/abstractsofwhali1183denn/page/n58	1840 1841 1842 1843 1844	Nantucket, MA	2021-10-04	
AD10241	1-024	AV00845	American : 1834-1837	AS0865	American	AA0357	Crosby, Matthew	AM1103	Coffin, Aaron	https://archive.org/details/abstractsofwhali1183denn/page/n59	1834 1835 1836 1837	Nantucket, MA	2021-10-04	
AD10242	1-024	AV00846	American : 1838-1841	AS0865	American	AA0357	Crosby, Matthew	AM0251	Baker, David	https://archive.org/details/abstractsofwhali1183denn/page/n59	1838 1839 1840 1841	Nantucket, MA	2021-10-04	
AD10243	1-024	AV00847	American : 1841-1845	AS0865	American	AA0698	Jones, Daniel	AM1107	Coffin, Alexander H.	https://archive.org/details/abstractsofwhali1183denn/page/n59	1841 1842 1843 1844 1845	Nantucket, MA	2021-10-04	
AD10251	1-025	AV00687	Alpha : 1834-1837	AS0036	Alpha	AA0549	Hadwen & Barney	AM0902	Chase, Frederick B.	https://archive.org/details/abstractsofwhali1183denn/page/n60	1834 1835 1836 1837	Nantucket, MA	2021-10-04	
AD10252	1-025	AV00688	Alpha : 1838-1841	AS0036	Alpha	AA0550	Hadwen & Barney or Nathaniel Barney	AM1283	Congdon, Joseph	https://archive.org/details/abstractsofwhali1183denn/page/n60	1838 1839 1840 1841	Nantucket, MA	2021-10-04	
AD10253	1-025	AV00689	Alpha : 1842-1845	AS0036	Alpha	AA0549	Hadwen & Barney	AM4137	Rogers, John B.	https://archive.org/details/abstractsofwhali1183denn/page/n60	1842 1843 1844 1845	Nantucket, MA	2021-10-04	
AD10261	1-026	AV00766	Amazon : 1839-1840	AS0856	Amazon	AA0576	Havens & Smith	AM0417	Beebe, Jeremiah	https://archive.org/details/abstractsofwhali1183denn/page/n61	1839 1840	New London, CT	2021-10-04	
AD10262	1-026	AV01187	Arbella   : 1834-1836	AS0900	Arbella  	AA0107	Bartlett, James, Jr.	AM1725	Eldridge, Ellis C.	https://archive.org/details/abstractsofwhali1183denn/page/n61	1834 1835 1836	Plymouth, MA	2021-10-04	
AD10263	1-026	AV01188	Arbella   : 1836-1838	AS0900	Arbella  	AA0107	Bartlett, James, Jr.	AM1725	Eldridge, Ellis C.	https://archive.org/details/abstractsofwhali1183denn/page/n61	1836 1837 1838	Plymouth, MA	2021-10-04	
AD10271	1-027	AV00446	Alert : 1843-1845	AS0834	Alert	AA0576	Havens & Smith	AM3434	Middleton, Nathaniel, Jr.	https://archive.org/details/abstractsofwhali1183denn/page/n62	1843 1844 1845	New London, CT	2021-10-04	
AD10272	1-027	AV01030	Ann Maria : 1835-1837	AS0879	Ann Maria	AA1373	Williams, Thomas W.	AM0947	Chester, Josiah	https://archive.org/details/abstractsofwhali1183denn/page/n62	1835 1836 1837	New London, CT	2021-10-04	
AD10273	1-027	AV01033	Ann Maria : 1841-1842	AS0879	Ann Maria	AA0576	Havens & Smith	AM3434	Middleton, Nathaniel, Jr.	https://archive.org/details/abstractsofwhali1183denn/page/n62	1841 1842	New London, CT	2021-10-04	
AD10281	1-028	AV01242	Armata : 1832-1835	AS0912	Armata	AA0111	Bassett, Abner	AM0781	Butler, Charles	https://archive.org/details/abstractsofwhali1183denn/page/n63	1832 1833 1834 1835	New London, CT	2021-10-04	
AD10282	1-028	AV01243	Armata : 1836-1838	AS0912	Armata	AA0111	Bassett, Abner	AM0781	Butler, Charles	https://archive.org/details/abstractsofwhali1183denn/page/n63	1836 1837 1838	New London, CT	2021-10-04	
