DWid	DW	voyageID	voyage	vesselID	vessel	agentID	agent	masterID	master	DWlink	other_years	port	change_date	changer
AD14385	1-438	AV12350	Rising States : 1836-1837	AS0581	Rising States	AA0696	Johnson, Richard	AM3912	Pompey, Edward J.	https://archive.org/details/abstractsofwhali1183denn/page/n475	1836 1837	New Bedford, MA	2021-10-04	
AD14386	1-438	AV12351	Rising States : 1837	AS0581	Rising States	AA0696	Johnson, Richard	AM1458	Cuffe, William	https://archive.org/details/abstractsofwhali1183denn/page/n475	1837	New Bedford, MA	2021-10-04	
AD14391	1-439	AV12292	Richard Mitchell II : 1835-1838	AS2288	Richard Mitchell II	AA0873	Mitchell, Paul & Sons	AM1059	Cleveland, Henry C.	https://archive.org/details/abstractsofwhali1183denn/page/n476	1835 1836 1837 1838	Nantucket, MA	2021-10-04	
AD14392	1-439	AV12293	Richard Mitchell II : 1839-1843	AS2288	Richard Mitchell II	AA0879	Mitchell, Richard & Sons	AM2152	Gardner, William H.	https://archive.org/details/abstractsofwhali1183denn/page/n476	1839 1840 1841 1842 1843	Nantucket, MA	2021-10-04	
AD14393	1-439	AV12294	Richard Mitchell II : 1843-1847	AS2288	Richard Mitchell II	AA0879	Mitchell, Richard & Sons	AM3145	Long, Josiah C.	https://archive.org/details/abstractsofwhali1183denn/page/n476	1843 1844 1845 1846 1847	Nantucket, MA	2021-10-04	
AD14401	1-440	AV11643	Pilgrim : 1839	AS2192	Pilgrim	AA0789	Luther, Wheaton	AM1271	Collins, Job	https://archive.org/details/abstractsofwhali1183denn/page/n477	1839	Somerset, MA	2021-10-04	
AD14402	1-440	AV11644	Pilgrim : 1840	AS2192	Pilgrim	AA0789	Luther, Wheaton	AM1271	Collins, Job	https://archive.org/details/abstractsofwhali1183denn/page/n477	1840	Somerset, MA	2021-10-04	
AD14403	1-440	AV11646	Pilgrim : 1841-1842	AS2192	Pilgrim	AA0789	Luther, Wheaton	AM1271	Collins, Job	https://archive.org/details/abstractsofwhali1183denn/page/n477	1841 1842	Somerset, MA	2021-10-04	
AD14404	1-440	AV11647	Pilgrim : 1842-1843	AS2192	Pilgrim	AA0789	Luther, Wheaton	AM1271	Collins, Job	https://archive.org/details/abstractsofwhali1183denn/page/n477	1842 1843	Somerset, MA	2021-10-04	
AD14405	1-440	AV11649	Pilgrim : 1843-1844	AS2192	Pilgrim	AA0619	Hood, George B.	AM1271	Collins, Job	https://archive.org/details/abstractsofwhali1183denn/page/n477	1843 1844	Somerset, MA	2021-10-04	
AD14406	1-440	AV12166	Reaper : 1835-1836	AS2265	Reaper	AA0461	Folger, Philip H.	AM1203	Coffin, Timothy U.	https://archive.org/details/abstractsofwhali1183denn/page/n477	1835 1836	Nantucket, MA	2021-10-04	
AD14411	1-441	AV12118	Rambler : 1835-1838	AS2258	Rambler	AA0859	Mitchell, Aaron	AM3389	McCleave, Robert M.	https://archive.org/details/abstractsofwhali1183denn/page/n478	1835 1836 1837 1838	Nantucket, MA	2021-10-04	
AD14412	1-441	AV12119	Rambler : 1838-1842	AS2258	Rambler	AA1104	Sanford, Frederick C.	AM3389	McCleave, Robert M.	https://archive.org/details/abstractsofwhali1183denn/page/n478	1838 1839 1840 1841 1842	Nantucket, MA	2021-10-04	
AD14413	1-441	AV12120	Rambler : 1843-1847	AS2258	Rambler	AA1104	Sanford, Frederick C.	AM3389	McCleave, Robert M.	https://archive.org/details/abstractsofwhali1183denn/page/n478	1843 1844 1845 1846 1847	Nantucket, MA	2021-10-04	
AD14421	1-442	AV12547	Roscius : 1843-1846	AS0583	Roscius	AA0647	Howland, William Penn	AM2533	Hazard, Gardner	https://archive.org/details/abstractsofwhali1183denn/page/n479	1843 1844 1845 1846	New Bedford, MA	2021-10-04	
