mabsID	voyageID	voyage	masterID	maurymaster	vesselID	mauryvessel	mauryrig	mauryport	maurydest	mauryvol	maurypage	maurylink	mauryplaces	maurynotes	other_years
AB236	AV05731	George Washington : 1845-1848	AM0248	Baker, Amos C.	AS0242	George Washington	Bark	New Bedford, MA	Madagascar	128	90	https://catalog.archives.gov/id/454793109?objectPage=783	https://catalog.archives.gov/id/454793109?objectPage=694		1845 1846 1847 1848
AB237	AV05739	George Washington : 1845-1848	AM2657	Holt, C. S.	AS1461	George Washington	Ship	New London, CT		88	47	https://catalog.archives.gov/id/454784753?objectPage=459			1845 1846 1847 1848
AB238	AV05749	Georgia : 1833-1835	AM0587	Brewster, C. O.	AS1468	Georgia	Ship	New London, CT		90	42	https://catalog.archives.gov/id/454784753?objectPage=834		sailed 3 May 1833	1833 1834 1835
AB239	AV05752	Georgia : 1838-1839	AM2353	Hall, John P.	AS1468	Georgia	Ship	New London, CT		90	62	https://catalog.archives.gov/id/454784753?objectPage=854		sailed 30 Oct 1838	1838 1839
AB240	AV05753	Georgia : 1839-1841	AM3804	Pendleton, B. F.	AS1468	Georgia	Ship	New London, CT		90	70	https://catalog.archives.gov/id/454784753?objectPage=863		sailed 26 Aug 1839. There is an earlier aborted voyage of Georgia on previous page.	1839 1840 1841
AB241	AV05756	Georgia : 1843-1846	AM2771	Hull, C.	AS1468	Georgia	Ship	New London, CT		90	13	https://catalog.archives.gov/id/454784753?objectPage=805		sailed 1 Sep 1843	1843 1844 1845 1846
AB242	AV05776	Gideon Howland : 1831-1834	AM4320	Sherman, Jireh	AS0238	Gideon Howland	Ship	New Bedford, MA	Pacific Ocean	405	171	https://catalog.archives.gov/id/454828273?objectPage=302	https://catalog.archives.gov/id/454828273?objectPage=213	sailed: 12 nov 1831, returned: 3 dec 1834	1831 1832 1833 1834
AB243	AV05833	Golconda II : 1841-1844	AM4455	Smith, A.	AS0245	Golconda II	Ship		Talcahuano	101	108	https://catalog.archives.gov/id/454787638?objectPage=250	https://catalog.archives.gov/id/454787638?objectPage=141		1841 1842 1843 1844
AB244	AV06096	Hamilton II : 1840-1843	AM2413	Hand, D.	AS1515	Hamilton II	Ship	Sag Harbor, NY		68	25	https://catalog.archives.gov/id/454780225?objectPage=448			1840 1841 1842 1843
AB245	AV06063	Hamilton : 1835-1836	AM2455	Harris, Henry	AS1511	Hamilton	Ship	Bridgeport, CT		68	1	https://catalog.archives.gov/id/454780225?objectPage=424			1835 1836
AB246	AV06094	Hamilton II : 1839-1840	AM2410	Hand, D.	AS1515	Hamilton II	Ship	Sag Harbor, NY		68	12	https://catalog.archives.gov/id/454780225?objectPage=435			1839 1840
AB247	AV06148	Hannibal : 1828-1829	AM2295	Greene, H.	AS1530	Hannibal	Ship	Sag Harbor, NY		14	155	https://catalog.archives.gov/id/454768152?objectPage=375			1828 1829
AB248	AV06153	Hannibal : 1833-1834	AM1326	Cooper, H.	AS1530	Hannibal	Ship	Sag Harbor, NY		68	141	https://catalog.archives.gov/id/454780225?objectPage=564			1833 1834
AB249	AV06168	Hanover : 1853	AM2649	Holmes, Hiram	AS1532	Hanover	Schr	Provincetown, MA	North Atlantic	84	v23	https://catalog.archives.gov/id/454783938?objectPage=387			1853
AB250	AV06229	Harvest : 1837-1838	AM2376	Halsey, Jesse	AS0281	Harvest	Bark	Bridgeport, CT		78	173	https://catalog.archives.gov/id/454782055?objectPage=866			1837 1838
AB251	AV06230	Harvest : 1838-1840	AM2243	Godbee, James	AS0281	Harvest	Bark	Bridgeport, CT		78	188	https://catalog.archives.gov/id/454782055?objectPage=874		sailed 28 Jul 1838	1838 1839 1840
AB252	AV06236	Harvest : 1843-1846	AM4951	Taber	AS1551	Harvest	Bark			160	1	https://catalog.archives.gov/id/454800028?objectPage=423	https://catalog.archives.gov/id/454800028?objectPage=420		1843 1844 1845 1846
AB253	AV06248	Harvest : 1845-1848	AM1148	Coffin	AS0282	Harvest	Ship		[N]ookaheeva	128	137	https://catalog.archives.gov/id/454793109?objectPage=830	https://catalog.archives.gov/id/454793109?objectPage=694		1845 1846 1847 1848
AB254	AV06298	Hector : 1834-1837	AM3627	Norton, T. A.	AS0268	Hector	Ship			154	174	https://catalog.archives.gov/id/454799208?objectPage=187	https://catalog.archives.gov/id/454799208?objectPage=19		1834 1835 1836 1837
AB255	AV06299	Hector : 1838-1840	AM3627	Norton, Thos. A.	AS0268	Hector	Ship	New Bedford, MA	Pacific Ocean	139	140	https://catalog.archives.gov/id/454795781?objectPage=358	https://catalog.archives.gov/id/454795781?objectPage=218		1838 1839 1840
AB256	AV06300	Hector : 1840-1843	AM2286	Gray, J.	AS0268	Hector			Payta	98	132	https://catalog.archives.gov/id/454786670?objectPage=702	https://catalog.archives.gov/id/454786670?objectPage=571		1840 1841 1842 1843
AB257	AV06419	Henry Astor : 1831-1835	AM4003	Rawson, Charles	AS1571	Henry Astor	Ship	Hudson, NY	Talcahuano	149	142	https://catalog.archives.gov/id/454797546?objectPage=765	https://catalog.archives.gov/id/454797546?objectPage=619		1831 1832 1833 1834 1835
AB258	AV06423	Henry Astor : 1844-1848	AM1201	Coffin	AS1571	Henry Astor	Ship		Callao	21	121	https://catalog.archives.gov/id/454769793?objectPage=138	https://catalog.archives.gov/id/454769793?objectPage=17		1844 1845 1846 1847 1848
AB259	AV06434	Henry Kneeland : 1845-1848	AM1822	Fish, A.	AS0280	Henry Kneeland	Ship		NW Coast N. America via Mowee	128	48	https://catalog.archives.gov/id/454793109?objectPage=741	https://catalog.archives.gov/id/454793109?objectPage=694		1845 1846 1847 1848
AB260	AV06454	Henry Tuke : 1844-1848	AM0882	Champlin, H.	AS1578	Henry Tuke	Ship	Warren, RI		36	148	https://catalog.archives.gov/id/454773400?objectPage=164			1844 1845 1846 1847 1848
